Date,Start,End,Name,Type
11-Apr,14:03,14:28,DevPop prep for Global,Pomodoro,
11-Apr,14:28,14:33,Working,Break,
11-Apr,14:33,14:56,DevPop prep for Global,Pomodoro,
11-Apr,14:56,15:20,Lunch,Break,
11-Apr,15:20,15:45,Excel formatting automation,Pomodoro,
11-Apr,15:45,15:46,NA,Break,
11-Apr,15:46,15:47,Excel formatting automation,Pomodoro,
11-Apr,15:47,16:12,Amazon Pricing questionnaire review meeting,Break,
11-Apr,16:12,16:37,Excel formatting automation,Pomodoro,
11-Apr,16:37,16:37,NA,Break,
11-Apr,16:37,17:01,Excel formatting automation,Pomodoro,
11-Apr,17:01,17:05,Wrapping up,Final,
Apr 12,09:30,09:59,"Planning day, email",Initial
Apr 12,09:59,10:24,"DevPop QA spreadsheets",Pomodoro
Apr 12,10:24,10:31,"Taking a break",Break
Apr 12,10:31,10:49,"DevPop QA spreadsheets",Pomodoro
Apr 12,10:49,11:17,"Taking a break / waiting for B. Whitney call",Break
Apr 12,11:17,11:42,"NPS daily update",Pomodoro
Apr 12,11:42,11:42,"NA",Break
Apr 12,11:42,12:07,"NPS daily update",Pomodoro
Apr 12,12:07,12:24,"Working, break",Break
Apr 12,12:24,12:49,"DevPop QA spreadsheets",Pomodoro
Apr 12,12:49,12:49,"NA",Break
Apr 12,12:49,12:51,"DevPop QA spreadsheets",Pomodoro
Apr 12,12:51,15:22,"Lunch, fooling around",Break
Apr 12,15:22,15:47,"Excel processing automation",Pomodoro
Apr 12,15:47,16:01,"NA",Break
Apr 12,16:01,16:26,"Excel processing automation",Pomodoro
Apr 12,16:26,16:26,"NA",Break
Apr 12,16:26,16:51,"Excel processing automation",Pomodoro
Apr 12,16:51,16:52,"NA",Break
Apr 12,16:52,17:17,"Excel processing automation",Pomodoro
Apr 12,17:17,17:17,"NA",Break
Apr 12,17:17,17:42,"Excel processing automation",Pomodoro
Apr 12,17:42,17:42,"NA",Break
Apr 12,17:42,18:07,"Excel processing automation",Pomodoro
Apr 12,18:07,18:25,"Watching Greg try to fix my car",Final
Apr 13,08:45,08:56,"Planning my day",Initial
Apr 13,08:56,09:21,"Excel formatting automation",Pomodoro
Apr 13,09:21,09:29,"Break",Break
Apr 13,09:29,09:54,"Excel formatting automation",Pomodoro
Apr 13,09:54,11:02,"Excel formatting automation, break",Break
Apr 13,11:02,11:10,"Amazon Pricing instrument testing",Pomodoro
Apr 13,11:10,11:27,"Excel formatting automation",Break
Apr 13,11:27,11:52,"Excel formatting automation",Pomodoro
Apr 13,11:52,11:53,"NA",Break
Apr 13,11:53,12:18,"Excel formatting automation",Pomodoro
Apr 13,12:18,12:22,"Break",Break
Apr 13,12:22,12:47,"Excel formatting automation",Pomodoro
Apr 13,12:47,12:47,"NA",Break
Apr 13,12:47,13:12,"Excel formatting automation",Pomodoro
Apr 13,13:12,13:13,"NA",Break
Apr 13,13:13,13:38,"Excel formatting automation",Pomodoro
Apr 13,13:38,14:27,"Lunch",Break
Apr 13,14:27,14:52,"Excel formatting automation",Pomodoro
Apr 13,14:52,14:53,"NA",Break
Apr 13,14:53,15:18,"Excel formatting automation",Pomodoro
Apr 13,15:18,15:18,"NA",Break
Apr 13,15:18,15:43,"Excel formatting automation",Pomodoro
Apr 13,15:43,15:43,"NA",Break
Apr 13,15:43,16:08,"Excel formatting automation",Pomodoro
Apr 13,16:08,16:08,"NA",Break
Apr 13,16:08,16:33,"Excel formatting automation",Pomodoro
Apr 13,16:33,16:33,"NA",Break
Apr 13,16:33,16:58,"Excel formatting automation",Pomodoro
Apr 13,16:58,16:59,"NA",Break
Apr 13,16:59,17:22,"Excel formatting automation",Pomodoro
Apr 13,17:22,17:23,"NA",Final
Apr 14,09:45,10:05,"NA",Initial
Apr 14,10:05,10:05,"T1",Pomodoro
Apr 14,10:05,10:05,"kjdsf",Final
Apr 14,09:45,10:15,"lkaj;sdf",Initial
Apr 14,10:15,10:15,"T1",Pomodoro
Apr 14,10:15,10:15,"",Final
Apr 14,09:45,10:15,"sadf",Initial
Apr 14,10:15,10:15,"T1",Pomodoro
Apr 14,10:15,10:16,"asdf",Final
Apr 14,09:45,10:16,"asdf",Initial
Apr 14,10:16,10:16,"T1",Pomodoro
Apr 14,10:16,10:16,"asdf",Final
